,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,1.85,1439013600,1.85,0.50000021,1.65,84.01638508,144.42819254,1.71904792
1,1.5,1439020800,1.7,1.5,1.7,0.2,0.32,1.6
2,1.40000001,1439028000,1.45,1.40000001,1.45,92.32305316,129.25577588,1.40003792
3,1.40000001,1439035200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
4,1.40000001,1439042400,1.40000001,1.40000001,1.40000001,0,0,1.40000001
5,1.40000001,1439049600,1.40000001,1.40000001,1.40000001,0,0,1.40000001
6,1.40000001,1439056800,1.40000001,1.40000001,1.40000001,0,0,1.40000001
7,1.40000001,1439064000,1.40000001,1.40000001,1.40000001,0,0,1.40000001
8,1.40000001,1439071200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
9,1.40000001,1439078400,1.40000001,1.40000001,1.40000001,0,0,1.40000001
10,1.40000001,1439085600,1.40000001,1.40000001,1.40000001,0,0,1.40000001
11,1.40000001,1439092800,1.40000001,1.40000001,1.40000001,0,0,1.40000001
12,1.40000001,1439100000,1.40000001,1.40000001,1.40000001,0,0,1.40000001
13,1.40000001,1439107200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
14,1.40000001,1439114400,1.40000001,1.40000001,1.40000001,0,0,1.40000001
15,1.40000001,1439121600,1.40000001,1.40000001,1.40000001,0,0,1.40000001
16,1.40000001,1439128800,1.40000001,1.40000001,1.40000001,0,0,1.40000001
17,1.40000001,1439136000,1.40000001,1.40000001,1.40000001,0,0,1.40000001
18,1.40000001,1439143200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
19,1.40000001,1439150400,1.40000001,1.40000001,1.40000001,0,0,1.40000001
20,1.40000001,1439157600,1.40000001,1.40000001,1.40000001,0,0,1.40000001
21,1.40000001,1439164800,1.40000001,1.40000001,1.40000001,0,0,1.40000001
22,1.40000001,1439172000,1.40000001,1.40000001,1.40000001,0,0,1.40000001
23,1.40000001,1439179200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
24,1.40000001,1439186400,1.40000001,1.40000001,1.40000001,0,0,1.40000001
25,1.40000001,1439193600,1.40000001,1.40000001,1.40000001,0,0,1.40000001
26,1.40000001,1439200800,1.40000001,1.40000001,1.40000001,0,0,1.40000001
27,1.40000001,1439208000,1.40000001,1.40000001,1.40000001,0,0,1.40000001
28,1.40000001,1439215200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
29,1.40000001,1439222400,1.40000001,1.40000001,1.40000001,0,0,1.40000001
30,1.40000001,1439229600,1.40000001,1.40000001,1.40000001,0,0,1.40000001
31,1.40000001,1439236800,1.40000001,1.40000001,1.40000001,0,0,1.40000001
32,1.40000001,1439244000,1.40000001,1.40000001,1.40000001,0,0,1.40000001
33,1.40000001,1439251200,1.40000001,1.40000001,1.40000001,0,0,1.40000001
34,0.66000001,1439258400,0.66000001,0.66000001,0.66000001,0.11181839,0.07380013,0.66000001
35,0.66000001,1439265600,0.66000001,0.66000001,0.66000001,0,0,0.66000001
36,0.66000001,1439272800,0.66000001,0.66000001,0.66000001,0,0,0.66000001
37,0.66000001,1439280000,0.66000001,0.66000001,0.66000001,0,0,0.66000001
38,0.55000001,1439287200,0.76999944,0.55000001,0.76999944,0.03984044,0.02629906,0.66010983
39,0.55000001,1439294400,0.55000001,0.55000001,0.55000001,0,0,0.55000001
40,0.77000001,1439301600,0.77000001,0.76999922,0.76999922,61.69089653,47.50194788,0.76999931
41,0.77000001,1439308800,0.77000001,0.77000001,0.77000001,0,0,0.77000001
42,1,1439316000,1,0.99999999,0.99999999,126.68052615,126.68052588,0.99999999
43,1.1,1439323200,1.14,1.05999999,1.05999999,62.994,68.6933997,1.09047527
44,1.1,1439330400,1.1,1.1,1.1,0,0,1.1
45,0.9000006,1439337600,1.05000001,0.9000006,1.05000001,10.14402612,9.60123162,0.94649121
46,0.90000146,1439344800,0.90000147,0.90000146,0.90000147,102.24831484,92.02363336,0.90000146
47,0.90000146,1439352000,0.90000146,0.90000146,0.90000146,0,0,0.90000146
48,0.90000146,1439359200,0.90000146,0.90000146,0.90000146,0,0,0.90000146
49,0.90000146,1439366400,0.90000146,0.90000146,0.90000146,0,0,0.90000146
50,1.18,1439373600,1.18,1,1,109.70495043,127.54115577,1.16258341
51,1.26,1439380800,1.26,1.22,1.22,15.22075571,18.57815219,1.22058014
52,1.26,1439388000,1.26,1.26,1.26,0,0,1.26
